poMovPrPlanPrepagoTUNV2,AMX1PrepPO_claroPrepagoTunV2
poMovPrPlanPrepagoEspecial,AMX1PrPlanPO_PrepagoEspecial
poMovPrPlanPrepagoJuerga,AMX1PrPlanPO_PrepagoJuerga
poMovPrPlanPrepagoTUNBAM,AMX1PO_claroPrepagoTunBam
poMovPrPlanPrepPhono10,AMX1PO_claroPrepagoPhono10
poMovPrPlanPrepPhono20,AMX1PO_claroPrepagoPhono20
poMovPrPlanPrepPhonoTUN,AMX1PO_claroPrepagoPhonoTUN
